training episode 63 of 1000 complete,  explore val = 0.01, episode reward = 52.0
training episode 64 of 1000 complete,  explore val = 0.01, episode reward = 37.0
training episode 65 of 1000 complete,  explore val = 0.01, episode reward = 27.0
training episode 66 of 1000 complete,  explore val = 0.01, episode reward = 156.0
training episode 67 of 1000 complete,  explore val = 0.01, episode reward = 56.0
training episode 68 of 1000 complete,  explore val = 0.01, episode reward = 72.0
training episode 69 of 1000 complete,  explore val = 0.01, episode reward = 64.0
training episode 70 of 1000 complete,  explore val = 0.01, episode reward = 58.0
training episode 71 of 1000 complete,  explore val = 0.01, episode reward = 71.0
training episode 72 of 1000 complete,  explore val = 0.01, episode reward = 96.0
training episode 73 of 1000 complete,  explore val = 0.01, episode reward = 40.0
training episode 74 of 1000 complete,  explore val = 0.01, episode reward = 58.0
training episode 75 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 76 of 1000 complete,  explore val = 0.01, episode reward = 190.0
training episode 77 of 1000 complete,  explore val = 0.01, episode reward = 149.0
training episode 78 of 1000 complete,  explore val = 0.01, episode reward = 84.0
training episode 79 of 1000 complete,  explore val = 0.01, episode reward = 231.0
training episode 80 of 1000 complete,  explore val = 0.01, episode reward = 75.0
training episode 81 of 1000 complete,  explore val = 0.01, episode reward = 405.0
training episode 82 of 1000 complete,  explore val = 0.01, episode reward = 17.0
training episode 83 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 84 of 1000 complete,  explore val = 0.01, episode reward = 441.0
training episode 85 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 86 of 1000 complete,  explore val = 0.01, episode reward = 17.0
training episode 87 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 88 of 1000 complete,  explore val = 0.01, episode reward = 16.0
training episode 89 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 90 of 1000 complete,  explore val = 0.01, episode reward = 14.0
training episode 91 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 92 of 1000 complete,  explore val = 0.01, episode reward = 16.0
training episode 93 of 1000 complete,  explore val = 0.01, episode reward = 90.0
training episode 94 of 1000 complete,  explore val = 0.01, episode reward = 19.0
training episode 95 of 1000 complete,  explore val = 0.01, episode reward = 41.0
training episode 96 of 1000 complete,  explore val = 0.01, episode reward = 31.0
training episode 97 of 1000 complete,  explore val = 0.01, episode reward = 18.0
training episode 98 of 1000 complete,  explore val = 0.01, episode reward = 154.0
training episode 99 of 1000 complete,  explore val = 0.01, episode reward = 11.0
training episode 100 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 101 of 1000 complete,  explore val = 0.01, episode reward = 15.0
training episode 102 of 1000 complete,  explore val = 0.01, episode reward = 27.0
training episode 103 of 1000 complete,  explore val = 0.01, episode reward = 68.0
training episode 104 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 105 of 1000 complete,  explore val = 0.01, episode reward = 23.0
training episode 106 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 107 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 108 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 109 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 110 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 111 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 112 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 113 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 114 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 115 of 1000 complete,  explore val = 0.01, episode reward = 398.0
training episode 116 of 1000 complete,  explore val = 0.01, episode reward = 169.0
training episode 117 of 1000 complete,  explore val = 0.01, episode reward = 20.0
training episode 118 of 1000 complete,  explore val = 0.01, episode reward = 131.0
training episode 119 of 1000 complete,  explore val = 0.01, episode reward = 15.0
training episode 120 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 121 of 1000 complete,  explore val = 0.01, episode reward = 13.0
training episode 122 of 1000 complete,  explore val = 0.01, episode reward = 487.0
training episode 123 of 1000 complete,  explore val = 0.01, episode reward = 11.0
training episode 124 of 1000 complete,  explore val = 0.01, episode reward = 352.0
training episode 125 of 1000 complete,  explore val = 0.01, episode reward = 11.0
training episode 126 of 1000 complete,  explore val = 0.01, episode reward = 15.0
training episode 127 of 1000 complete,  explore val = 0.01, episode reward = 19.0
training episode 128 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 129 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 130 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 131 of 1000 complete,  explore val = 0.01, episode reward = 13.0
training episode 132 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 133 of 1000 complete,  explore val = 0.01, episode reward = 10.0
training episode 134 of 1000 complete,  explore val = 0.01, episode reward = 17.0
training episode 135 of 1000 complete,  explore val = 0.01, episode reward = 15.0
training episode 136 of 1000 complete,  explore val = 0.01, episode reward = 31.0
training episode 137 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 138 of 1000 complete,  explore val = 0.01, episode reward = 99.0
training episode 139 of 1000 complete,  explore val = 0.01, episode reward = 13.0
training episode 140 of 1000 complete,  explore val = 0.01, episode reward = 404.0
training episode 141 of 1000 complete,  explore val = 0.01, episode reward = 12.0
training episode 142 of 1000 complete,  explore val = 0.01, episode reward = 13.0
training episode 143 of 1000 complete,  explore val = 0.01, episode reward = 11.0
training episode 144 of 1000 complete,  explore val = 0.01, episode reward = 10.0
training episode 145 of 1000 complete,  explore val = 0.01, episode reward = 10.0
training episode 146 of 1000 complete,  explore val = 0.01, episode reward = 10.0
training episode 147 of 1000 complete,  explore val = 0.01, episode reward = 13.0
training episode 148 of 1000 complete,  explore val = 0.01, episode reward = 16.0
training episode 149 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 150 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 151 of 1000 complete,  explore val = 0.01, episode reward = 18.0
training episode 152 of 1000 complete,  explore val = 0.01, episode reward = 11.0
training episode 153 of 1000 complete,  explore val = 0.01, episode reward = 10.0
training episode 154 of 1000 complete,  explore val = 0.01, episode reward = 10.0
training episode 155 of 1000 complete,  explore val = 0.01, episode reward = 10.0
training episode 156 of 1000 complete,  explore val = 0.01, episode reward = 12.0
training episode 157 of 1000 complete,  explore val = 0.01, episode reward = 12.0
training episode 158 of 1000 complete,  explore val = 0.01, episode reward = 18.0
training episode 159 of 1000 complete,  explore val = 0.01, episode reward = 37.0
training episode 160 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 161 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 162 of 1000 complete,  explore val = 0.01, episode reward = 23.0
training episode 163 of 1000 complete,  explore val = 0.01, episode reward = 18.0
training episode 164 of 1000 complete,  explore val = 0.01, episode reward = 15.0
training episode 165 of 1000 complete,  explore val = 0.01, episode reward = 17.0
training episode 166 of 1000 complete,  explore val = 0.01, episode reward = 18.0
training episode 167 of 1000 complete,  explore val = 0.01, episode reward = 25.0
training episode 168 of 1000 complete,  explore val = 0.01, episode reward = 269.0
training episode 169 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 170 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 171 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 172 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 173 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 174 of 1000 complete,  explore val = 0.01, episode reward = 50.0
training episode 175 of 1000 complete,  explore val = 0.01, episode reward = 408.0
training episode 176 of 1000 complete,  explore val = 0.01, episode reward = 116.0
training episode 177 of 1000 complete,  explore val = 0.01, episode reward = 426.0
training episode 178 of 1000 complete,  explore val = 0.01, episode reward = 332.0
training episode 179 of 1000 complete,  explore val = 0.01, episode reward = 305.0
training episode 180 of 1000 complete,  explore val = 0.01, episode reward = 143.0
training episode 181 of 1000 complete,  explore val = 0.01, episode reward = 200.0
training episode 182 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 183 of 1000 complete,  explore val = 0.01, episode reward = 275.0
training episode 184 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 185 of 1000 complete,  explore val = 0.01, episode reward = 384.0
training episode 186 of 1000 complete,  explore val = 0.01, episode reward = 375.0
training episode 187 of 1000 complete,  explore val = 0.01, episode reward = 264.0
training episode 188 of 1000 complete,  explore val = 0.01, episode reward = 252.0
training episode 189 of 1000 complete,  explore val = 0.01, episode reward = 233.0
training episode 190 of 1000 complete,  explore val = 0.01, episode reward = 202.0
training episode 191 of 1000 complete,  explore val = 0.01, episode reward = 244.0
training episode 192 of 1000 complete,  explore val = 0.01, episode reward = 276.0
training episode 193 of 1000 complete,  explore val = 0.01, episode reward = 310.0
training episode 194 of 1000 complete,  explore val = 0.01, episode reward = 331.0
training episode 195 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 196 of 1000 complete,  explore val = 0.01, episode reward = 456.0
training episode 197 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 198 of 1000 complete,  explore val = 0.01, episode reward = 485.0
training episode 199 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 200 of 1000 complete,  explore val = 0.01, episode reward = 323.0
training episode 201 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 202 of 1000 complete,  explore val = 0.01, episode reward = 257.0
training episode 203 of 1000 complete,  explore val = 0.01, episode reward = 21.0
training episode 204 of 1000 complete,  explore val = 0.01, episode reward = 209.0
training episode 205 of 1000 complete,  explore val = 0.01, episode reward = 475.0
training episode 206 of 1000 complete,  explore val = 0.01, episode reward = 195.0
training episode 207 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 208 of 1000 complete,  explore val = 0.01, episode reward = 189.0
training episode 209 of 1000 complete,  explore val = 0.01, episode reward = 302.0
training episode 210 of 1000 complete,  explore val = 0.01, episode reward = 196.0
training episode 211 of 1000 complete,  explore val = 0.01, episode reward = 219.0
training episode 212 of 1000 complete,  explore val = 0.01, episode reward = 13.0
training episode 213 of 1000 complete,  explore val = 0.01, episode reward = 11.0
training episode 214 of 1000 complete,  explore val = 0.01, episode reward = 12.0
training episode 215 of 1000 complete,  explore val = 0.01, episode reward = 11.0
