training episode 141 of 500 complete,  explore val = 0.01, episode reward = 102.0
training episode 142 of 500 complete,  explore val = 0.01, episode reward = 155.0
training episode 143 of 500 complete,  explore val = 0.01, episode reward = 322.0
training episode 144 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 145 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 146 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 147 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 148 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 149 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 150 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 151 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 152 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 153 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 154 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 155 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 156 of 500 complete,  explore val = 0.01, episode reward = 66.0
training episode 157 of 500 complete,  explore val = 0.01, episode reward = 8.0
training episode 158 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 159 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 160 of 500 complete,  explore val = 0.01, episode reward = 8.0
training episode 161 of 500 complete,  explore val = 0.01, episode reward = 9.0
training episode 162 of 500 complete,  explore val = 0.01, episode reward = 9.0
training episode 163 of 500 complete,  explore val = 0.01, episode reward = 9.0
training episode 164 of 500 complete,  explore val = 0.01, episode reward = 9.0
training episode 165 of 500 complete,  explore val = 0.01, episode reward = 14.0
training episode 166 of 500 complete,  explore val = 0.01, episode reward = 198.0
training episode 167 of 500 complete,  explore val = 0.01, episode reward = 11.0
training episode 168 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 169 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 170 of 500 complete,  explore val = 0.01, episode reward = 9.0
training episode 171 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 172 of 500 complete,  explore val = 0.01, episode reward = 9.0
training episode 173 of 500 complete,  explore val = 0.01, episode reward = 11.0
training episode 174 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 175 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 176 of 500 complete,  explore val = 0.01, episode reward = 12.0
training episode 177 of 500 complete,  explore val = 0.01, episode reward = 11.0
training episode 178 of 500 complete,  explore val = 0.01, episode reward = 14.0
training episode 179 of 500 complete,  explore val = 0.01, episode reward = 161.0
training episode 180 of 500 complete,  explore val = 0.01, episode reward = 91.0
training episode 181 of 500 complete,  explore val = 0.01, episode reward = 92.0
training episode 182 of 500 complete,  explore val = 0.01, episode reward = 110.0
training episode 183 of 500 complete,  explore val = 0.01, episode reward = 174.0
training episode 184 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 185 of 500 complete,  explore val = 0.01, episode reward = 121.0
training episode 186 of 500 complete,  explore val = 0.01, episode reward = 64.0
training episode 187 of 500 complete,  explore val = 0.01, episode reward = 90.0
training episode 188 of 500 complete,  explore val = 0.01, episode reward = 91.0
training episode 189 of 500 complete,  explore val = 0.01, episode reward = 12.0
training episode 190 of 500 complete,  explore val = 0.01, episode reward = 14.0
training episode 191 of 500 complete,  explore val = 0.01, episode reward = 12.0
training episode 192 of 500 complete,  explore val = 0.01, episode reward = 12.0
training episode 193 of 500 complete,  explore val = 0.01, episode reward = 14.0
training episode 194 of 500 complete,  explore val = 0.01, episode reward = 15.0
training episode 195 of 500 complete,  explore val = 0.01, episode reward = 183.0
training episode 196 of 500 complete,  explore val = 0.01, episode reward = 9.0
training episode 197 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 198 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 199 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 200 of 500 complete,  explore val = 0.01, episode reward = 11.0
training episode 201 of 500 complete,  explore val = 0.01, episode reward = 12.0
training episode 202 of 500 complete,  explore val = 0.01, episode reward = 40.0
training episode 203 of 500 complete,  explore val = 0.01, episode reward = 234.0
training episode 204 of 500 complete,  explore val = 0.01, episode reward = 213.0
training episode 205 of 500 complete,  explore val = 0.01, episode reward = 205.0
training episode 206 of 500 complete,  explore val = 0.01, episode reward = 183.0
training episode 207 of 500 complete,  explore val = 0.01, episode reward = 148.0
training episode 208 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 209 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 210 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 211 of 500 complete,  explore val = 0.01, episode reward = 9.0
training episode 212 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 213 of 500 complete,  explore val = 0.01, episode reward = 9.0
training episode 214 of 500 complete,  explore val = 0.01, episode reward = 9.0
training episode 215 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 216 of 500 complete,  explore val = 0.01, episode reward = 9.0
training episode 217 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 218 of 500 complete,  explore val = 0.01, episode reward = 13.0
training episode 219 of 500 complete,  explore val = 0.01, episode reward = 167.0
training episode 220 of 500 complete,  explore val = 0.01, episode reward = 14.0
training episode 221 of 500 complete,  explore val = 0.01, episode reward = 16.0
training episode 222 of 500 complete,  explore val = 0.01, episode reward = 13.0
training episode 223 of 500 complete,  explore val = 0.01, episode reward = 13.0
training episode 224 of 500 complete,  explore val = 0.01, episode reward = 12.0
training episode 225 of 500 complete,  explore val = 0.01, episode reward = 13.0
training episode 226 of 500 complete,  explore val = 0.01, episode reward = 13.0
training episode 227 of 500 complete,  explore val = 0.01, episode reward = 14.0
training episode 228 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 229 of 500 complete,  explore val = 0.01, episode reward = 13.0
training episode 230 of 500 complete,  explore val = 0.01, episode reward = 12.0
training episode 231 of 500 complete,  explore val = 0.01, episode reward = 12.0
training episode 232 of 500 complete,  explore val = 0.01, episode reward = 12.0
training episode 233 of 500 complete,  explore val = 0.01, episode reward = 12.0
training episode 234 of 500 complete,  explore val = 0.01, episode reward = 13.0
training episode 235 of 500 complete,  explore val = 0.01, episode reward = 12.0
training episode 236 of 500 complete,  explore val = 0.01, episode reward = 15.0
training episode 237 of 500 complete,  explore val = 0.01, episode reward = 15.0
training episode 238 of 500 complete,  explore val = 0.01, episode reward = 14.0
training episode 239 of 500 complete,  explore val = 0.01, episode reward = 16.0
training episode 240 of 500 complete,  explore val = 0.01, episode reward = 20.0
training episode 241 of 500 complete,  explore val = 0.01, episode reward = 19.0
training episode 242 of 500 complete,  explore val = 0.01, episode reward = 98.0
training episode 243 of 500 complete,  explore val = 0.01, episode reward = 289.0
training episode 244 of 500 complete,  explore val = 0.01, episode reward = 189.0
training episode 245 of 500 complete,  explore val = 0.01, episode reward = 220.0
training episode 246 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 247 of 500 complete,  explore val = 0.01, episode reward = 313.0
training episode 248 of 500 complete,  explore val = 0.01, episode reward = 256.0
