training episode 97 of 500 complete,  explore val = 0.01, episode reward = 76.0
training episode 98 of 500 complete,  explore val = 0.01, episode reward = 129.0
training episode 99 of 500 complete,  explore val = 0.01, episode reward = 8.0
training episode 100 of 500 complete,  explore val = 0.01, episode reward = 165.0
training episode 101 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 102 of 500 complete,  explore val = 0.01, episode reward = 12.0
training episode 103 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 104 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 105 of 500 complete,  explore val = 0.01, episode reward = 18.0
training episode 106 of 500 complete,  explore val = 0.01, episode reward = 20.0
training episode 107 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 108 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 109 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 110 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 111 of 500 complete,  explore val = 0.01, episode reward = 13.0
training episode 112 of 500 complete,  explore val = 0.01, episode reward = 15.0
training episode 113 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 114 of 500 complete,  explore val = 0.01, episode reward = 15.0
training episode 115 of 500 complete,  explore val = 0.01, episode reward = 9.0
training episode 116 of 500 complete,  explore val = 0.01, episode reward = 19.0
training episode 117 of 500 complete,  explore val = 0.01, episode reward = 14.0
training episode 118 of 500 complete,  explore val = 0.01, episode reward = 9.0
training episode 119 of 500 complete,  explore val = 0.01, episode reward = 25.0
training episode 120 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 121 of 500 complete,  explore val = 0.01, episode reward = 39.0
training episode 122 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 123 of 500 complete,  explore val = 0.01, episode reward = 144.0
training episode 124 of 500 complete,  explore val = 0.01, episode reward = 173.0
training episode 125 of 500 complete,  explore val = 0.01, episode reward = 186.0
training episode 126 of 500 complete,  explore val = 0.01, episode reward = 216.0
training episode 127 of 500 complete,  explore val = 0.01, episode reward = 229.0
training episode 128 of 500 complete,  explore val = 0.01, episode reward = 266.0
training episode 129 of 500 complete,  explore val = 0.01, episode reward = 219.0
training episode 130 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 131 of 500 complete,  explore val = 0.01, episode reward = 178.0
training episode 132 of 500 complete,  explore val = 0.01, episode reward = 231.0
training episode 133 of 500 complete,  explore val = 0.01, episode reward = 218.0
training episode 134 of 500 complete,  explore val = 0.01, episode reward = 229.0
training episode 135 of 500 complete,  explore val = 0.01, episode reward = 186.0
training episode 136 of 500 complete,  explore val = 0.01, episode reward = 261.0
training episode 137 of 500 complete,  explore val = 0.01, episode reward = 214.0
training episode 138 of 500 complete,  explore val = 0.01, episode reward = 406.0
training episode 139 of 500 complete,  explore val = 0.01, episode reward = 163.0
training episode 140 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 141 of 500 complete,  explore val = 0.01, episode reward = 158.0
training episode 142 of 500 complete,  explore val = 0.01, episode reward = 247.0
training episode 143 of 500 complete,  explore val = 0.01, episode reward = 178.0
training episode 144 of 500 complete,  explore val = 0.01, episode reward = 206.0
training episode 145 of 500 complete,  explore val = 0.01, episode reward = 181.0
training episode 146 of 500 complete,  explore val = 0.01, episode reward = 199.0
training episode 147 of 500 complete,  explore val = 0.01, episode reward = 169.0
training episode 148 of 500 complete,  explore val = 0.01, episode reward = 279.0
training episode 149 of 500 complete,  explore val = 0.01, episode reward = 207.0
training episode 150 of 500 complete,  explore val = 0.01, episode reward = 301.0
training episode 151 of 500 complete,  explore val = 0.01, episode reward = 153.0
training episode 152 of 500 complete,  explore val = 0.01, episode reward = 442.0
training episode 153 of 500 complete,  explore val = 0.01, episode reward = 146.0
training episode 154 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 155 of 500 complete,  explore val = 0.01, episode reward = 152.0
training episode 156 of 500 complete,  explore val = 0.01, episode reward = 206.0
training episode 157 of 500 complete,  explore val = 0.01, episode reward = 171.0
training episode 158 of 500 complete,  explore val = 0.01, episode reward = 173.0
training episode 159 of 500 complete,  explore val = 0.01, episode reward = 188.0
training episode 160 of 500 complete,  explore val = 0.01, episode reward = 184.0
training episode 161 of 500 complete,  explore val = 0.01, episode reward = 249.0
training episode 162 of 500 complete,  explore val = 0.01, episode reward = 199.0
training episode 163 of 500 complete,  explore val = 0.01, episode reward = 233.0
training episode 164 of 500 complete,  explore val = 0.01, episode reward = 166.0
training episode 165 of 500 complete,  explore val = 0.01, episode reward = 285.0
training episode 166 of 500 complete,  explore val = 0.01, episode reward = 133.0
training episode 167 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 168 of 500 complete,  explore val = 0.01, episode reward = 117.0
training episode 169 of 500 complete,  explore val = 0.01, episode reward = 275.0
training episode 170 of 500 complete,  explore val = 0.01, episode reward = 200.0
training episode 171 of 500 complete,  explore val = 0.01, episode reward = 182.0
training episode 172 of 500 complete,  explore val = 0.01, episode reward = 217.0
training episode 173 of 500 complete,  explore val = 0.01, episode reward = 292.0
training episode 174 of 500 complete,  explore val = 0.01, episode reward = 203.0
training episode 175 of 500 complete,  explore val = 0.01, episode reward = 249.0
training episode 176 of 500 complete,  explore val = 0.01, episode reward = 255.0
training episode 177 of 500 complete,  explore val = 0.01, episode reward = 404.0
training episode 178 of 500 complete,  explore val = 0.01, episode reward = 187.0
training episode 179 of 500 complete,  explore val = 0.01, episode reward = 429.0
training episode 180 of 500 complete,  explore val = 0.01, episode reward = 149.0
training episode 181 of 500 complete,  explore val = 0.01, episode reward = 393.0
training episode 182 of 500 complete,  explore val = 0.01, episode reward = 159.0
training episode 183 of 500 complete,  explore val = 0.01, episode reward = 255.0
training episode 184 of 500 complete,  explore val = 0.01, episode reward = 180.0
training episode 185 of 500 complete,  explore val = 0.01, episode reward = 325.0
training episode 186 of 500 complete,  explore val = 0.01, episode reward = 239.0
training episode 187 of 500 complete,  explore val = 0.01, episode reward = 242.0
training episode 188 of 500 complete,  explore val = 0.01, episode reward = 170.0
training episode 189 of 500 complete,  explore val = 0.01, episode reward = 483.0
training episode 190 of 500 complete,  explore val = 0.01, episode reward = 148.0
training episode 191 of 500 complete,  explore val = 0.01, episode reward = 470.0
training episode 192 of 500 complete,  explore val = 0.01, episode reward = 151.0
training episode 193 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 194 of 500 complete,  explore val = 0.01, episode reward = 206.0
training episode 195 of 500 complete,  explore val = 0.01, episode reward = 229.0
training episode 196 of 500 complete,  explore val = 0.01, episode reward = 187.0
training episode 197 of 500 complete,  explore val = 0.01, episode reward = 255.0
training episode 198 of 500 complete,  explore val = 0.01, episode reward = 260.0
training episode 199 of 500 complete,  explore val = 0.01, episode reward = 266.0
training episode 200 of 500 complete,  explore val = 0.01, episode reward = 262.0
training episode 201 of 500 complete,  explore val = 0.01, episode reward = 259.0
training episode 202 of 500 complete,  explore val = 0.01, episode reward = 351.0
training episode 203 of 500 complete,  explore val = 0.01, episode reward = 314.0
training episode 204 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 205 of 500 complete,  explore val = 0.01, episode reward = 206.0
training episode 206 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 207 of 500 complete,  explore val = 0.01, episode reward = 233.0
training episode 208 of 500 complete,  explore val = 0.01, episode reward = 306.0
training episode 209 of 500 complete,  explore val = 0.01, episode reward = 303.0
training episode 210 of 500 complete,  explore val = 0.01, episode reward = 387.0
training episode 211 of 500 complete,  explore val = 0.01, episode reward = 223.0
training episode 212 of 500 complete,  explore val = 0.01, episode reward = 305.0
training episode 213 of 500 complete,  explore val = 0.01, episode reward = 195.0
training episode 214 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 215 of 500 complete,  explore val = 0.01, episode reward = 178.0
training episode 216 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 217 of 500 complete,  explore val = 0.01, episode reward = 164.0
training episode 218 of 500 complete,  explore val = 0.01, episode reward = 416.0
training episode 219 of 500 complete,  explore val = 0.01, episode reward = 264.0
training episode 220 of 500 complete,  explore val = 0.01, episode reward = 423.0
training episode 221 of 500 complete,  explore val = 0.01, episode reward = 254.0
training episode 222 of 500 complete,  explore val = 0.01, episode reward = 496.0
training episode 223 of 500 complete,  explore val = 0.01, episode reward = 236.0
training episode 224 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 225 of 500 complete,  explore val = 0.01, episode reward = 211.0
training episode 226 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 227 of 500 complete,  explore val = 0.01, episode reward = 213.0
training episode 228 of 500 complete,  explore val = 0.01, episode reward = 450.0
training episode 229 of 500 complete,  explore val = 0.01, episode reward = 196.0
training episode 230 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 231 of 500 complete,  explore val = 0.01, episode reward = 215.0
training episode 232 of 500 complete,  explore val = 0.01, episode reward = 426.0
training episode 233 of 500 complete,  explore val = 0.01, episode reward = 196.0
training episode 234 of 500 complete,  explore val = 0.01, episode reward = 340.0
training episode 235 of 500 complete,  explore val = 0.01, episode reward = 215.0
training episode 236 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 237 of 500 complete,  explore val = 0.01, episode reward = 135.0
training episode 238 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 239 of 500 complete,  explore val = 0.01, episode reward = 183.0
training episode 240 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 241 of 500 complete,  explore val = 0.01, episode reward = 264.0
training episode 242 of 500 complete,  explore val = 0.01, episode reward = 476.0
training episode 243 of 500 complete,  explore val = 0.01, episode reward = 349.0
training episode 244 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 245 of 500 complete,  explore val = 0.01, episode reward = 288.0
training episode 246 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 247 of 500 complete,  explore val = 0.01, episode reward = 235.0
training episode 248 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 249 of 500 complete,  explore val = 0.01, episode reward = 219.0
training episode 250 of 500 complete,  explore val = 0.01, episode reward = 315.0
training episode 251 of 500 complete,  explore val = 0.01, episode reward = 200.0
training episode 252 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 253 of 500 complete,  explore val = 0.01, episode reward = 188.0
training episode 254 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 255 of 500 complete,  explore val = 0.01, episode reward = 182.0
training episode 256 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 257 of 500 complete,  explore val = 0.01, episode reward = 204.0
training episode 258 of 500 complete,  explore val = 0.01, episode reward = 437.0
training episode 259 of 500 complete,  explore val = 0.01, episode reward = 171.0
training episode 260 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 261 of 500 complete,  explore val = 0.01, episode reward = 176.0
training episode 262 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 263 of 500 complete,  explore val = 0.01, episode reward = 148.0
training episode 264 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 265 of 500 complete,  explore val = 0.01, episode reward = 167.0
training episode 266 of 500 complete,  explore val = 0.01, episode reward = 475.0
training episode 267 of 500 complete,  explore val = 0.01, episode reward = 224.0
training episode 268 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 269 of 500 complete,  explore val = 0.01, episode reward = 198.0
training episode 270 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 271 of 500 complete,  explore val = 0.01, episode reward = 216.0
training episode 272 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 273 of 500 complete,  explore val = 0.01, episode reward = 196.0
training episode 274 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 275 of 500 complete,  explore val = 0.01, episode reward = 182.0
training episode 276 of 500 complete,  explore val = 0.01, episode reward = 225.0
training episode 277 of 500 complete,  explore val = 0.01, episode reward = 164.0
training episode 278 of 500 complete,  explore val = 0.01, episode reward = 153.0
training episode 279 of 500 complete,  explore val = 0.01, episode reward = 102.0
training episode 280 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 281 of 500 complete,  explore val = 0.01, episode reward = 124.0
training episode 282 of 500 complete,  explore val = 0.01, episode reward = 271.0
training episode 283 of 500 complete,  explore val = 0.01, episode reward = 135.0
training episode 284 of 500 complete,  explore val = 0.01, episode reward = 311.0
training episode 285 of 500 complete,  explore val = 0.01, episode reward = 136.0
training episode 286 of 500 complete,  explore val = 0.01, episode reward = 362.0
training episode 287 of 500 complete,  explore val = 0.01, episode reward = 110.0
training episode 288 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 289 of 500 complete,  explore val = 0.01, episode reward = 109.0
training episode 290 of 500 complete,  explore val = 0.01, episode reward = 225.0
training episode 291 of 500 complete,  explore val = 0.01, episode reward = 157.0
training episode 292 of 500 complete,  explore val = 0.01, episode reward = 224.0
